url,full_title,title,numeric_title,effect,category,is_harmful
https://calorizator.ru/addon/e3xx/e357,E357 Адипат калия,адипат калия,E357,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e359,E359 Адипат аммония,адипат аммония,E359,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e363,E363 Янтарная кислота,янтарная кислота,E363,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e365,E365 Фумарат натрия,фумарат натрия,E365,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e366,E366 Фумарат калия,фумарат калия,E366,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e367,E367 Фумарат кальция,фумарат кальция,E367,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e368,E368 Фумарат аммония,фумарат аммония,E368,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e370,E370 Гептонолактон,гептонолактон,E370,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e375,"E375 Никотиновая кислота (Ниацин, витамин B3, витамин PP)",никотиновая кислота,E375,Не для пищевых продуктов,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e380,E380 Цитраты аммония,цитраты аммония,E380,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e381,E381 Цитраты аммония железа,цитраты аммония железа,E381,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e383,E383 Глицерофосфат кальция,глицерофосфат кальция,E383,Нет данных,E3xx Антиокислители (антиоксиданты),0
https://calorizator.ru/addon/e3xx/e384,E384 Изопропилцитратная смесь,изопропилцитратная смесь,E384,Нет данных,E3xx Антиокислители (антиоксиданты),0
